date_start,date_end,h,rmse,mae,coverage,predictions,actuals,residuals,commodity,order,horizon,rmse_rolling,mae_rolling,coverage_rolling
2015-05-26,2015-10-12,10,0.3194047330654367,0.25769990225976785,0.5,"[2.6109316036120847, 2.6611029525206416, 2.6269531440367793, 2.6781463389356626, 2.7085479082749435, 2.7121067381502906, 2.720710712524884, 2.7398388099255655, 2.744686033524557, 2.7492428593026057]","[2.861, 2.874, 2.831, 2.799, 2.442, 2.671, 2.404, 2.721, 2.286, 2.062]","[0.25006839638791556, 0.21289704747935856, 0.2040468559632207, 0.12085366106433737, -0.26654790827494335, -0.041106738150290756, -0.31671071252488403, -0.018838809925565414, -0.45868603352455706, -0.6872428593026059]",ng,"(5, 0, 1)",10,0.3194047330654367,0.25769990225976785,0.5
2015-05-27,2015-10-13,10,0.3406249629760388,0.26406599324494673,0.6,"[2.774924152397097, 2.7025469060927287, 2.814624321192916, 2.8203666730830736, 2.75727070303753, 2.7940919729132947, 2.804748690009792, 2.779406599157391, 2.783809680823077, 2.7948123507222187]","[2.874, 2.831, 2.799, 2.442, 2.671, 2.404, 2.721, 2.286, 2.062, 2.551]","[0.099075847602903, 0.12845309390727122, -0.015624321192916124, -0.3783666730830735, -0.08627070303753026, -0.3900919729132948, -0.0837486900097919, -0.49340659915739105, -0.721809680823077, -0.24381235072221852]",ng,"(5, 0, 1)",10,0.33001484802073777,0.2608829477523573,0.55
2015-05-28,2015-10-14,10,0.3635809464959501,0.29749393688832193,0.4,"[2.7474405190977524, 2.8378111578782956, 2.8686206234574176, 2.792940757366502, 2.7969629900376605, 2.82194453330054, 2.794720490510785, 2.7844743099257983, 2.797985122495946, 2.7929199030080265]","[2.831, 2.799, 2.442, 2.671, 2.404, 2.721, 2.286, 2.062, 2.551, 2.461]","[0.08355948090224752, -0.0388111578782957, -0.42662062345741747, -0.12194075736650234, -0.39296299003766055, -0.10094453330053987, -0.5087204905107852, -0.7224743099257984, -0.24698512249594584, -0.33191990300802665]",ng,"(5, 0, 1)",10,0.3412035475124752,0.2730866107976788,0.5
2015-05-29,2015-10-15,10,0.3912096616740503,0.3403509629178265,0.3,"[2.8720382058249623, 2.890507363456167, 2.834393366791399, 2.823017346517715, 2.824224943260397, 2.805879727635011, 2.7936419128857737, 2.7961325640216765, 2.7936403654330366, 2.790033833352127]","[2.799, 2.442, 2.671, 2.404, 2.721, 2.286, 2.062, 2.551, 2.461, 2.423]","[-0.07303820582496234, -0.4485073634561667, -0.16339336679139915, -0.41901734651771516, -0.10322494326039688, -0.5198797276350109, -0.7316419128857738, -0.24513256402167638, -0.33264036543303677, -0.367033833352127]",ng,"(5, 0, 1)",10,0.35370507605286894,0.28990269882771574,0.45
2015-06-01,2015-10-16,10,0.46120777289664616,0.4044271946677499,0.2,"[2.856899911202664, 2.8065344633987657, 2.7984854057173054, 2.8054098293354537, 2.80439617593827, 2.7899731226505384, 2.797321256160568, 2.7973426168636255, 2.7943687504421137, 2.7945404149681954]","[2.442, 2.671, 2.404, 2.721, 2.286, 2.062, 2.551, 2.461, 2.423, 1.98]","[-0.4148999112026637, -0.13553446339876585, -0.3944854057173055, -0.0844098293354536, -0.5183961759382698, -0.7279731226505386, -0.24632125616056788, -0.33634261686362565, -0.3713687504421137, -0.8145404149681954]",ng,"(5, 0, 1)",10,0.3752056154216244,0.3128075979957226,0.4
2015-06-02,2015-10-19,10,0.4219660771141184,0.3457248314573336,0.4,"[2.5855739465744207, 2.6329064999164418, 2.631084510589609, 2.683564345145132, 2.6820341963399423, 2.6756420028374537, 2.6776372610646426, 2.6722988899645297, 2.671602327071836, 2.6732212493973875]","[2.671, 2.404, 2.721, 2.286, 2.062, 2.551, 2.461, 2.423, 1.98, 1.92]","[0.08542605342557907, -0.22890649991644185, 0.08991548941039129, -0.39756434514513206, -0.6200341963399425, -0.12464200283745352, -0.21663726106464276, -0.24929888996452965, -0.6916023270718359, -0.7532212493973875]",ng,"(5, 0, 1)",10,0.38299902570370675,0.31829380357265774,0.39999999999999997
2015-06-03,2015-10-20,10,0.4618856343000145,0.4004465372113484,0.2,"[2.6865974377923303, 2.6431740098950343, 2.713623251869823, 2.6995539998991442, 2.6864408240786926, 2.7001589899865484, 2.692966454309642, 2.6925721257150763, 2.6976545048472436, 2.6970717935100175]","[2.404, 2.721, 2.286, 2.062, 2.551, 2.461, 2.423, 1.98, 1.92, 2.253]","[-0.2825974377923304, 0.07782599010496583, -0.42762325186982286, -0.6375539998991444, -0.1354408240786924, -0.2391589899865485, -0.26996645430964206, -0.7125721257150763, -0.7776545048472436, -0.44407179351001735]",ng,"(5, 0, 1)",10,0.39426854121746496,0.33002990837818497,0.37142857142857144
2015-06-04,2015-10-21,10,0.4935781019631203,0.43731517497681693,0.3,"[2.5540015554148603, 2.620955981039759, 2.6397160241138033, 2.6756631779200406, 2.7174861800383363, 2.7292545251043814, 2.7426734187646398, 2.754826152879741, 2.760085907001538, 2.76349193832079]","[2.721, 2.286, 2.062, 2.551, 2.461, 2.423, 1.98, 1.92, 2.253, 2.262]","[0.1669984445851398, -0.3349559810397591, -0.5777160241138035, -0.12466317792004045, -0.25648618003833645, -0.30625452510438134, -0.7626734187646398, -0.8348261528797409, -0.5070859070015379, -0.5014919383207901]",ng,"(5, 0, 1)",10,0.4066822363106719,0.343440566703014,0.3625
2015-06-05,2015-10-22,10,0.5313424240822706,0.4893748271018798,0.1,"[2.6730133438724852, 2.715554668854251, 2.71464978608625, 2.7715680363515354, 2.735285898069076, 2.772470027386091, 2.759323358821858, 2.773128270221671, 2.7651176528685593, 2.775637228487021]","[2.286, 2.062, 2.551, 2.461, 2.423, 1.98, 1.92, 2.253, 2.262, 2.364]","[-0.3870133438724852, -0.6535546688542513, -0.1636497860862498, -0.3105680363515355, -0.31228589806907614, -0.792470027386091, -0.8393233588218583, -0.520128270221671, -0.5031176528685593, -0.4116372284870211]",ng,"(5, 0, 1)",10,0.420533368285294,0.35965548452511015,0.3333333333333333
2015-06-08,2015-10-23,10,0.47007582133057096,0.411496494782883,0.3,"[2.6187788015800564, 2.5347655800218565, 2.66774885439375, 2.587292902459332, 2.7321845940377267, 2.662918512262634, 2.73848412381058, 2.705954578770813, 2.7555762489655313, 2.725791911570263]","[2.062, 2.551, 2.461, 2.423, 1.98, 1.92, 2.253, 2.262, 2.364, 2.371]","[-0.5567788015800565, 0.016234419978143677, -0.20674885439375013, -0.1642929024593318, -0.7521845940377268, -0.7429185122626341, -0.48548412381058004, -0.4439545787708128, -0.39157624896553145, -0.3547919115702629]",ng,"(5, 0, 1)",10,0.4254876135898217,0.36483958555088747,0.32999999999999996
