Region,Date,CDD,HDD,HDD_l1,HDD_l2,HDD_l3,HDD_3dma,CDD_l1,CDD_l2,CDD_l3,CDD_3dma
1,2006-01-01,0,38,,,,,,,,
3,2006-01-01,0,28,38.0,,,,0.0,,,
5,2006-01-01,1,13,28.0,38.0,,26.333333333333332,0.0,0.0,,0.3333333333333333
6,2006-01-01,0,15,13.0,28.0,38.0,18.666666666666668,1.0,0.0,0.0,0.3333333333333333
2,2006-01-01,0,32,15.0,13.0,28.0,20.0,0.0,1.0,0.0,0.3333333333333333
CONUS,2006-01-01,0,20,32.0,15.0,13.0,22.333333333333332,0.0,0.0,1.0,0.0
7,2006-01-01,1,3,20.0,32.0,15.0,18.333333333333332,0.0,0.0,0.0,0.3333333333333333
8,2006-01-01,0,22,3.0,20.0,32.0,15.0,1.0,0.0,0.0,0.3333333333333333
9,2006-01-01,0,17,22.0,3.0,20.0,14.0,0.0,1.0,0.0,0.3333333333333333
4,2006-01-01,0,29,17.0,22.0,3.0,22.666666666666668,0.0,0.0,1.0,0.0
2,2006-01-02,0,30,29.0,17.0,22.0,25.333333333333332,0.0,0.0,0.0,0.0
3,2006-01-02,0,24,30.0,29.0,17.0,27.666666666666668,0.0,0.0,0.0,0.0
1,2006-01-02,0,33,24.0,30.0,29.0,29.0,0.0,0.0,0.0,0.0
9,2006-01-02,0,17,33.0,24.0,30.0,24.666666666666668,0.0,0.0,0.0,0.0
4,2006-01-02,0,27,17.0,33.0,24.0,25.666666666666668,0.0,0.0,0.0,0.0
8,2006-01-02,0,21,27.0,17.0,33.0,21.666666666666668,0.0,0.0,0.0,0.0
CONUS,2006-01-02,1,19,21.0,27.0,17.0,22.333333333333332,0.0,0.0,0.0,0.3333333333333333
5,2006-01-02,2,14,19.0,21.0,27.0,18.0,1.0,0.0,0.0,1.0
7,2006-01-02,2,4,14.0,19.0,21.0,12.333333333333334,2.0,1.0,0.0,1.6666666666666667
6,2006-01-02,1,7,4.0,14.0,19.0,8.333333333333334,2.0,2.0,1.0,1.6666666666666667
7,2006-01-03,0,6,7.0,4.0,14.0,5.666666666666667,1.0,2.0,2.0,1.0
5,2006-01-03,2,12,6.0,7.0,4.0,8.333333333333334,0.0,1.0,2.0,1.0
6,2006-01-03,0,16,12.0,6.0,7.0,11.333333333333334,2.0,0.0,1.0,0.6666666666666666
1,2006-01-03,0,34,16.0,12.0,6.0,20.666666666666668,0.0,2.0,0.0,0.6666666666666666
8,2006-01-03,0,20,34.0,16.0,12.0,23.333333333333332,0.0,0.0,2.0,0.0
4,2006-01-03,0,27,20.0,34.0,16.0,27.0,0.0,0.0,0.0,0.0
9,2006-01-03,0,18,27.0,20.0,34.0,21.666666666666668,0.0,0.0,0.0,0.0
2,2006-01-03,0,29,18.0,27.0,20.0,24.666666666666668,0.0,0.0,0.0,0.0
CONUS,2006-01-03,0,19,29.0,18.0,27.0,22.0,0.0,0.0,0.0,0.0
3,2006-01-03,0,25,19.0,29.0,18.0,24.333333333333332,0.0,0.0,0.0,0.0
1,2006-01-04,0,38,25.0,19.0,29.0,27.333333333333332,0.0,0.0,0.0,0.0
2,2006-01-04,0,31,38.0,25.0,19.0,31.333333333333332,0.0,0.0,0.0,0.0
9,2006-01-04,0,14,31.0,38.0,25.0,27.666666666666668,0.0,0.0,0.0,0.0
6,2006-01-04,0,13,14.0,31.0,38.0,19.333333333333332,0.0,0.0,0.0,0.0
4,2006-01-04,0,27,13.0,14.0,31.0,18.0,0.0,0.0,0.0,0.0
5,2006-01-04,0,14,27.0,13.0,14.0,18.0,0.0,0.0,0.0,0.0
7,2006-01-04,0,8,14.0,27.0,13.0,16.333333333333332,0.0,0.0,0.0,0.0
8,2006-01-04,0,24,8.0,14.0,27.0,15.333333333333334,0.0,0.0,0.0,0.0
CONUS,2006-01-04,0,20,24.0,8.0,14.0,17.333333333333332,0.0,0.0,0.0,0.0
3,2006-01-04,0,24,20.0,24.0,8.0,22.666666666666668,0.0,0.0,0.0,0.0
6,2006-01-05,0,22,24.0,20.0,24.0,22.0,0.0,0.0,0.0,0.0
9,2006-01-05,0,10,22.0,24.0,20.0,18.666666666666668,0.0,0.0,0.0,0.0
7,2006-01-05,0,12,10.0,22.0,24.0,14.666666666666666,0.0,0.0,0.0,0.0
CONUS,2006-01-05,0,21,12.0,10.0,22.0,14.333333333333334,0.0,0.0,0.0,0.0
2,2006-01-05,0,28,21.0,12.0,10.0,20.333333333333332,0.0,0.0,0.0,0.0
3,2006-01-05,0,29,28.0,21.0,12.0,26.0,0.0,0.0,0.0,0.0
8,2006-01-05,0,24,29.0,28.0,21.0,27.0,0.0,0.0,0.0,0.0
5,2006-01-05,0,14,24.0,29.0,28.0,22.333333333333332,0.0,0.0,0.0,0.0
4,2006-01-05,0,32,14.0,24.0,29.0,23.333333333333332,0.0,0.0,0.0,0.0
1,2006-01-05,0,35,32.0,14.0,24.0,27.0,0.0,0.0,0.0,0.0
8,2006-01-06,0,20,35.0,32.0,14.0,29.0,0.0,0.0,0.0,0.0
CONUS,2006-01-06,0,24,20.0,35.0,32.0,26.333333333333332,0.0,0.0,0.0,0.0
5,2006-01-06,0,20,24.0,20.0,35.0,21.333333333333332,0.0,0.0,0.0,0.0
7,2006-01-06,0,17,20.0,24.0,20.0,20.333333333333332,0.0,0.0,0.0,0.0
9,2006-01-06,0,8,17.0,20.0,24.0,15.0,0.0,0.0,0.0,0.0
4,2006-01-06,0,34,8.0,17.0,20.0,19.666666666666668,0.0,0.0,0.0,0.0
6,2006-01-06,0,29,34.0,8.0,17.0,23.666666666666668,0.0,0.0,0.0,0.0
3,2006-01-06,0,36,29.0,34.0,8.0,33.0,0.0,0.0,0.0,0.0
2,2006-01-06,0,31,36.0,29.0,34.0,32.0,0.0,0.0,0.0,0.0
1,2006-01-06,0,33,31.0,36.0,29.0,33.333333333333336,0.0,0.0,0.0,0.0
9,2006-01-07,0,13,33.0,31.0,36.0,25.666666666666668,0.0,0.0,0.0,0.0
3,2006-01-07,0,33,13.0,33.0,31.0,26.333333333333332,0.0,0.0,0.0,0.0
1,2006-01-07,0,41,33.0,13.0,33.0,29.0,0.0,0.0,0.0,0.0
8,2006-01-07,0,20,41.0,33.0,13.0,31.333333333333332,0.0,0.0,0.0,0.0
7,2006-01-07,0,12,20.0,41.0,33.0,24.333333333333332,0.0,0.0,0.0,0.0
CONUS,2006-01-07,0,26,12.0,20.0,41.0,19.333333333333332,0.0,0.0,0.0,0.0
4,2006-01-07,0,28,26.0,12.0,20.0,22.0,0.0,0.0,0.0,0.0
2,2006-01-07,0,39,28.0,26.0,12.0,31.0,0.0,0.0,0.0,0.0
6,2006-01-07,0,27,39.0,28.0,26.0,31.333333333333332,0.0,0.0,0.0,0.0
5,2006-01-07,0,27,27.0,39.0,28.0,31.0,0.0,0.0,0.0,0.0
CONUS,2006-01-08,0,22,27.0,27.0,39.0,25.333333333333332,0.0,0.0,0.0,0.0
3,2006-01-08,0,27,22.0,27.0,27.0,25.333333333333332,0.0,0.0,0.0,0.0
2,2006-01-08,0,32,27.0,22.0,27.0,27.0,0.0,0.0,0.0,0.0
6,2006-01-08,0,16,32.0,27.0,22.0,25.0,0.0,0.0,0.0,0.0
1,2006-01-08,0,39,16.0,32.0,27.0,29.0,0.0,0.0,0.0,0.0
9,2006-01-08,0,16,39.0,16.0,32.0,23.666666666666668,0.0,0.0,0.0,0.0
8,2006-01-08,0,23,16.0,39.0,16.0,26.0,0.0,0.0,0.0,0.0
5,2006-01-08,0,20,23.0,16.0,39.0,19.666666666666668,0.0,0.0,0.0,0.0
7,2006-01-08,0,7,20.0,23.0,16.0,16.666666666666668,0.0,0.0,0.0,0.0
4,2006-01-08,0,27,7.0,20.0,23.0,18.0,0.0,0.0,0.0,0.0
6,2006-01-09,0,11,27.0,7.0,20.0,15.0,0.0,0.0,0.0,0.0
9,2006-01-09,0,15,11.0,27.0,7.0,17.666666666666668,0.0,0.0,0.0,0.0
5,2006-01-09,0,12,15.0,11.0,27.0,12.666666666666666,0.0,0.0,0.0,0.0
7,2006-01-09,0,8,12.0,15.0,11.0,11.666666666666666,0.0,0.0,0.0,0.0
2,2006-01-09,0,23,8.0,12.0,15.0,14.333333333333334,0.0,0.0,0.0,0.0
1,2006-01-09,0,31,23.0,8.0,12.0,20.666666666666668,0.0,0.0,0.0,0.0
3,2006-01-09,0,28,31.0,23.0,8.0,27.333333333333332,0.0,0.0,0.0,0.0
8,2006-01-09,0,28,28.0,31.0,23.0,29.0,0.0,0.0,0.0,0.0
CONUS,2006-01-09,0,19,28.0,28.0,31.0,25.0,0.0,0.0,0.0,0.0
4,2006-01-09,0,34,19.0,28.0,28.0,27.0,0.0,0.0,0.0,0.0
5,2006-01-10,0,11,34.0,19.0,28.0,21.333333333333332,0.0,0.0,0.0,0.0
3,2006-01-10,0,31,11.0,34.0,19.0,25.333333333333332,0.0,0.0,0.0,0.0
1,2006-01-10,0,30,31.0,11.0,34.0,24.0,0.0,0.0,0.0,0.0
2,2006-01-10,0,26,30.0,31.0,11.0,29.0,0.0,0.0,0.0,0.0
8,2006-01-10,0,27,26.0,30.0,31.0,27.666666666666668,0.0,0.0,0.0,0.0
