State,Pop_2010,Pop_2020,Pop_avg
California,37253956,39538223,38396089.5
Texas,25145561,29145505,27145533
New York,19378102,20201249,19789675.5
Florida,18801310,21538187,20169748.5
Illinois,12830632,12812508,12821570
Pennsylvania,12702379,13002700,12852539.5
Ohio,11536504,11799448,11667976
Michigan,9883640,10077331,9980485.5
Georgia,9687653,10711908,10199780.5
North Carolina,9535483,10439388,9987435.5
New Jersey,8791894,9288994,9040444
Virginia,8001024,8631393,8316208.5
Washington,6724540,7705281,7214910.5
Massachusetts,6547629,7029917,6788773
Indiana,6483802,6785528,6634665
Arizona,6392017,7151502,6771759.5
Tennessee,6346105,6910840,6628472.5
Missouri,5988927,6154913,6071920
Maryland,5773552,6177224,5975388
Wisconsin,5686986,5893718,5790352
Minnesota,5303925,5706494,5505209.5
Colorado,5029196,5773714,5401455
Alabama,4779736,5024279,4902007.5
South Carolina,4625364,5118425,4871894.5
Louisiana,4533372,4657757,4595564.5
Kentucky,4339367,4505836,4422601.5
Oregon,3831074,4237256,4034165
Oklahoma,3751351,3959353,3855352
Connecticut,3574097,3605944,3590020.5
Iowa,3046355,3190369,3118362
Mississippi,2967297,2961279,2964288
Arkansas,2915918,3011524,2963721
Kansas,2853118,2937880,2895499
Utah,2763885,3271616,3017750.5
Nevada,2700551,3104614,2902582.5
New Mexico,2059179,2117522,2088350.5
West Virginia,1852994,1793716,1823355
Nebraska,1826341,1961504,1893922.5
Idaho,1567582,1839106,1703344
Hawaii,1360301,1455271,1407786
Maine,1328361,1362359,1345360
New Hampshire,1316470,1377529,1346999.5
Rhode Island,1052567,1097379,1074973
Montana,989415,1084225,1036820
Delaware,897934,989948,943941
South Dakota,814180,886667,850423.5
Alaska,710231,733391,721811
North Dakota,672591,779094,725842.5
Vermont,625741,643077,634409
Wyoming,563626,576851,570238.5
