Date,Price
2006-01-03,10.12
2006-01-03,10.626
2006-01-03,9.9
2006-01-03,10.16
2006-01-03,10.755
2006-01-04,10.282
2006-01-04,9.777
2006-01-04,9.812
2006-01-04,9.25
2006-01-04,10.197
2006-01-05,9.298
2006-01-05,9.598
2006-01-05,9.24
2006-01-05,9.499
2006-01-05,9.283
2006-01-06,9.632
2006-01-06,9.402
2006-01-06,9.3
2006-01-06,9.392
2006-01-06,9.742
2006-01-09,9.29
2006-01-09,9.305
2006-01-09,8.79
2006-01-09,9.49
2006-01-09,9.36
2006-01-10,9.371
2006-01-10,9.336
2006-01-10,9.476
2006-01-10,8.6
2006-01-10,9.336
2006-01-11,9.37
2006-01-11,9.37
2006-01-11,9.32
2006-01-11,9.24
2006-01-11,8.55
2006-01-12,8.943
2006-01-12,8.7
2006-01-12,9.138
2006-01-12,9.068
2006-01-12,9.088
2006-01-13,8.962
2006-01-13,8.892
2006-01-13,8.791
2006-01-13,8.5
2006-01-13,8.932
2006-01-17,9.352
2006-01-17,8.82
2006-01-17,9.168
2006-01-17,9.287
2006-01-17,9.327
2006-01-18,8.86
2006-01-18,8.878
2006-01-18,8.694
2006-01-18,9.003
2006-01-18,8.918
2006-01-19,9.172
2006-01-19,8.21
2006-01-19,9.082
2006-01-19,8.905
2006-01-19,9.097
2006-01-20,8.8
2006-01-20,9.516
2006-01-20,9.28
2006-01-20,9.451
2006-01-20,9.441
2006-01-23,8.574
2006-01-23,8.29
2006-01-23,8.947
2006-01-23,8.757
2006-01-23,8.847
2006-01-24,8.914
2006-01-24,8.27
2006-01-24,8.844
2006-01-24,8.682
2006-01-24,9.004
2006-01-25,8.722
2006-01-25,8.637
2006-01-25,8.46
2006-01-25,8.5
2006-01-25,8.812
2006-01-26,8.651
2006-01-26,8.229
2006-01-26,8.551
2006-01-26,8.421
2006-01-26,7.86
2006-01-27,8.752
2006-01-27,8.19
2006-01-27,8.652
2006-01-27,8.507
2006-01-27,8.4
2006-01-30,9.474
2006-01-30,9.619
2006-01-30,8.36
2006-01-30,9.389
2006-01-30,9.539
2006-01-31,9.316
2006-01-31,9.581
2006-01-31,9.506
2006-01-31,9.436
2006-01-31,8.73
2006-02-01,8.873
2006-02-01,8.968
2006-02-01,8.723
2006-02-01,9.058
2006-02-01,8.71
2006-02-02,8.347
2006-02-02,8.487
2006-02-02,8.602
2006-02-02,8.702
2006-02-02,8.01
2006-02-03,8.613
2006-02-03,8.723
2006-02-03,8.911
2006-02-03,8.818
2006-02-03,8.01
2006-02-06,8.32
2006-02-06,7.995
2006-02-06,8.175
2006-02-06,8.44
2006-02-06,8.24
2006-02-07,8.058
2006-02-07,8.338
2006-02-07,8.208
2006-02-07,7.858
2006-02-07,7.74
2006-02-08,7.735
2006-02-08,7.935
2006-02-08,8.095
2006-02-08,8.235
2006-02-08,7.88
2006-02-09,7.479
2006-02-09,7.997
2006-02-09,7.682
2006-02-09,7.55
2006-02-09,7.847
2006-02-10,7.57
2006-02-10,7.811
2006-02-10,7.316
2006-02-10,7.666
2006-02-10,7.511
2006-02-13,7.577
2006-02-13,7.712
2006-02-13,7.427
2006-02-13,7.243
2006-02-13,7.36
2006-02-14,7.579
2006-02-14,7.114
2006-02-14,7.03
2006-02-14,7.452
2006-02-14,7.299
2006-02-15,7.066
2006-02-15,7.399
2006-02-15,7.31
2006-02-15,7.524
2006-02-15,7.249
2006-02-16,7.585
2006-02-16,7.16
2006-02-16,7.458
2006-02-16,7.134
2006-02-16,7.308
2006-02-17,7.375
2006-02-17,7.525
2006-02-17,7.39
2006-02-17,7.655
2006-02-17,7.182
2006-02-21,7.731
2006-02-21,7.4
2006-02-21,7.907
2006-02-21,8.189
2006-02-21,8.059
2006-02-22,7.283
2006-02-22,7.745
2006-02-22,7.428
2006-02-22,7.55
2006-02-22,7.6
2006-02-23,7.543
2006-02-23,7.23
2006-02-23,7.843
2006-02-23,7.458
2006-02-23,7.703
2006-02-24,7.112
2006-02-24,7.475
2006-02-24,7.625
2006-02-24,7.39
2006-02-24,7.313
2006-02-27,6.789
2006-02-27,6.959
2006-02-27,7.278
2006-02-27,6.97
2006-02-27,7.121
2006-02-28,6.69
2006-02-28,7.235
2006-02-28,6.714
2006-02-28,6.909
2006-02-28,7.075
2006-03-01,6.94
2006-03-01,7.29
2006-03-01,7.115
2006-03-01,6.733
2006-03-01,6.62
2006-03-02,7.15
2006-03-02,6.69
2006-03-02,6.76
2006-03-02,7.335
2006-03-02,6.96
2006-03-03,7.375
2006-03-03,6.59
2006-03-03,7.19
2006-03-03,6.995
2006-03-03,6.79
2006-03-06,6.972
2006-03-06,7.172
2006-03-06,6.547
2006-03-06,6.767
2006-03-06,6.5
2006-03-07,7.278
2006-03-07,6.53
2006-03-07,6.888
2006-03-07,6.678
2006-03-07,7.085
2006-03-08,6.47
2006-03-08,6.648
2006-03-08,6.858
2006-03-08,7.243
2006-03-08,7.053
2006-03-09,6.601
2006-03-09,7.176
2006-03-09,6.801
2006-03-09,6.31
2006-03-09,6.991
2006-03-10,7.032
2006-03-10,6.849
2006-03-10,6.646
2006-03-10,6.4
2006-03-10,7.215
2006-03-13,7.359
2006-03-13,7.194
2006-03-13,6.77
2006-03-13,7.007
2006-03-13,7.524
2006-03-14,7.15
2006-03-14,7.627
2006-03-14,7.48
2006-03-14,7.167
2006-03-14,7.333
2006-03-15,7.444
2006-03-15,7.304
2006-03-15,7.589
2006-03-15,7.143
2006-03-15,7.1
2006-03-16,7.12
2006-03-16,7.549
2006-03-16,7.412
2006-03-16,7.267
2006-03-16,7.689
2006-03-17,7.208
2006-03-17,7.354
2006-03-17,7.053
2006-03-17,7.17
2006-03-17,7.5
2006-03-20,6.835
2006-03-20,7.304
2006-03-20,7
2006-03-20,7.141
2006-03-20,6.978
2006-03-21,6.83
2006-03-21,7.011
2006-03-21,6.868
2006-03-21,7.176
2006-03-21,7.341
2006-03-22,6.953
2006-03-22,7.103
2006-03-22,7.06
2006-03-22,7.443
2006-03-22,7.273
2006-03-23,7.63
2006-03-23,7.467
2006-03-23,7.16
2006-03-23,7.793
2006-03-23,7.328
2006-03-24,7.43
2006-03-24,7.29
2006-03-24,7.457
2006-03-24,7.624
2006-03-24,7.791
2006-03-27,7.242
2006-03-27,7.42
2006-03-27,7.05
2006-03-27,7.592
2006-03-27,7.067
2006-03-28,7.384
2006-03-28,7.732
2006-03-28,7.562
2006-03-28,7.214
2006-03-28,7.15
2006-03-29,7.16
2006-03-29,7.816
2006-03-29,7.456
2006-03-29,7.641
2006-03-29,7.233
2006-03-30,7.19
2006-03-30,7.487
2006-03-30,7.994
2006-03-30,7.859
2006-03-30,7.674
2006-03-31,7.42
2006-03-31,7.21
2006-03-31,7.77
2006-03-31,6.98
2006-03-31,7.625
2006-04-03,7.834
2006-04-03,7.677
2006-04-03,7.244
