commodity,date,level,horizon,scenario,level_lo95,level_hi95
OL,2025-10-21,60.98483204502125,1,Normal,57.84079002651372,64.29977422256204
OL,2025-10-21,61.01516486202536,1,Warm,57.86955905055485,64.33175583535812
OL,2025-10-21,60.95451430754351,1,Cold,57.812035304581656,64.26780850896758
OL,2025-10-21,60.98483204502125,1,Normal,57.84079002651372,64.29977422256204
OL,2025-10-21,61.01516486202536,1,Warm,57.86955905055485,64.33175583535812
OL,2025-10-21,60.95451430754351,1,Cold,57.812035304581656,64.26780850896758
OL,2025-10-22,60.939305002875074,2,Normal,54.816383853892034,67.7461487450848
OL,2025-10-22,60.98295390947354,2,Warm,54.855647104741244,67.79467317966507
OL,2025-10-22,60.89568733823727,2,Cold,54.777148705944704,67.69765904215289
OL,2025-10-22,60.939305002875074,2,Normal,54.816383853892034,67.7461487450848
OL,2025-10-22,60.98295390947354,2,Warm,54.855647104741244,67.79467317966507
OL,2025-10-22,60.89568733823727,2,Cold,54.777148705944704,67.69765904215289
OL,2025-10-23,60.99709922418166,3,Normal,52.026474980403506,71.5144763347141
OL,2025-10-23,61.060571532715876,3,Warm,52.080612644553206,71.58889280638756
OL,2025-10-23,60.93369289495044,3,Cold,51.97239359221777,71.44013721877332
OL,2025-10-23,60.99709922418166,3,Normal,52.026474980403506,71.5144763347141
OL,2025-10-23,61.060571532715876,3,Warm,52.080612644553206,71.58889280638756
OL,2025-10-23,60.93369289495044,3,Cold,51.97239359221777,71.44013721877332
OL,2025-10-24,61.01334764867419,4,Normal,49.341899748269306,75.44558702218491
OL,2025-10-24,61.09271130155969,4,Warm,49.406081661821766,75.54372353838869
OL,2025-10-24,60.93408709465703,4,Cold,49.277801211456904,75.34757799209592
OL,2025-10-24,61.01334764867419,4,Normal,49.341899748269306,75.44558702218491
OL,2025-10-24,61.09271130155969,4,Warm,49.406081661821766,75.54372353838869
OL,2025-10-24,60.93408709465703,4,Cold,49.277801211456904,75.34757799209592
OL,2025-10-25,61.036741139221704,5,Normal,46.78005919960009,79.6382867537758
OL,2025-10-25,61.125380384650875,5,Warm,46.84799449678653,79.75393967877426
OL,2025-10-25,60.94823043149294,5,Cold,46.712222416867775,79.5228015396028
OL,2025-10-25,61.036741139221704,5,Normal,46.78005919960009,79.6382867537758
OL,2025-10-25,61.125380384650875,5,Warm,46.84799449678653,79.75393967877426
OL,2025-10-25,60.94823043149294,5,Cold,46.712222416867775,79.5228015396028
OL,2025-10-26,61.06030245061495,6,Normal,44.35134526763148,84.06420397988714
OL,2025-10-26,61.15770870730762,6,Warm,44.42209661258753,84.19830713861538
OL,2025-10-26,60.96305133346305,6,Cold,44.28070660877526,83.93031440807992
OL,2025-10-26,61.06030245061495,6,Normal,44.35134526763148,84.06420397988714
OL,2025-10-26,61.15770870730762,6,Warm,44.42209661258753,84.19830713861538
OL,2025-10-26,60.96305133346305,6,Cold,44.28070660877526,83.93031440807992
OL,2025-10-27,61.08803864722137,7,Normal,42.051592254744406,88.74214424885146
OL,2025-10-27,61.194169322634835,7,Warm,42.124650155882485,88.89631950010087
OL,2025-10-27,60.982092037061,7,Cold,41.97866105986738,88.58823638784078
OL,2025-10-27,61.08803864722137,7,Normal,42.051592254744406,88.74214424885146
OL,2025-10-27,61.194169322634835,7,Warm,42.124650155882485,88.89631950010087
OL,2025-10-27,60.982092037061,7,Cold,41.97866105986738,88.58823638784078
OL,2025-10-28,61.10193066561493,8,Normal,39.86204850676021,93.65915879693088
OL,2025-10-28,61.210254202502384,8,Warm,39.93271727343899,93.82520087174368
OL,2025-10-28,60.99379882844835,8,Cold,39.79150480230923,93.49341056609974
